uid,label
789935600795131904,0
362489116,0
872074225,0
2160032827,0
295665805,0
703662642682933248,1
347236002,1
67596891,1
31715700,1
4247374520,0
298389081,1
21264846,0
4813449254,0
248491756,1
161177386,1
23367958,1
66778192,1
2282942550,0
29787253,0
720380528,1
49489453,0
8277022,0
206457337,0
949755810334363648,1
337274396,0
742113128574418944,1
44401911,1
58913244,1
456042163,0
312218973,0
308169713,0
421153342,1
231390130,1
807810340339744768,1
463116227,0
900506737,1
90695638,0
274766396,1
882364851619864576,1
929250770,1
127040659,1
79591760,0
766824142687592448,1
56898796,0
13500262,0
18596691,0
257592836,0
204578227,0
21688445,1
728330384379760641,1
32475192,1
23221789,1
4518059727,1
589242486,1
727151976241311745,1
1814161,0
486192374,0
30833130,0
123798040,0
50026826,1
1569211166,0
831855141129175040,0
65581785,1
4009502524,1
512289208,0
891065553795915778,0
221452291,1
740539938,0
84652941,0
714100628935413760,1
2847859818,1
2855825548,0
4688576155,0
19985444,1
255109860,1
3388370711,1
20892272,0
721009427533291520,0
372754839,0
2913818531,0
374747620,0
15914986,1
872683897,1
766380960304824320,1
88751359,1
2895468635,0
731263125207584768,0
19448030,1
797061519745773568,0
2954345731,0
223539048,1
18077520,0
90380313,1
28430855,0
819673665067511808,0
27632661,0
707913763,0
4928508051,1
29700110,1
1209553183,1
947521440638742528,0
212369811,1
19201509,0
2910144341,0
240248851,1
468892443,0
3236410038,0
239505531,1
920425554,0
610092452,1
915263037371813888,1
1754399952,1
107720954,0
1662927661,0
169044758,0
831302293,1
381910782,1
18619559,0
824710232815251456,1
243860378,1
75700471,0
24489125,1
34220522,1
308593298,1
15704958,1
275217493,0
531211626,1
139570306,0
550394711,0
32902246,0
308500560,1
441251850,1
884578187392544769,1
21377006,1
61091549,0
48012011,1
928996263957352448,1
127326486,1
815683621034004480,1
3866882356,1
1244883272,0
14263615,0
825590468314484737,0
275192498,0
4488104843,1
2261562474,0
19663706,1
62287662,1
2433020058,1
492487436,0
817121799272009728,0
28659381,1
2757961,0
696161245406232577,0
22065467,0
24090722,0
259873132,0
252435510,0
3105393939,1
224321652,0
141457038,1
2872925208,0
791095996658966528,1
827788813,0
928036965320032256,0
2387568571,0
117329499,0
260500079,0
21731244,1
61020082,1
15584149,1
11970082,0
16980483,0
121804102,0
117549982,1
779609254869274624,1
777955795124252672,1
15939870,0
112666405,0
315779591,1
3591983302,1
115445524,0
53152952,0
6269532,0
759432387348434944,1
84135023,1
2170808779,0
219184212,0
1266038659,1
72904946,0
854012626782867456,1
40005244,1
20752344,0
15395753,0
2440586125,1
2972110719,0
827020946615758849,0
76543481,1
37381180,0
796538918,1
25155029,0
323808817,1
874787544,0
829087274084208640,0
708646188174548992,0
457860712,0
3028577482,0
911622432171200512,0
1358484180,0
127613900,0
514498219,0
160258508,0
1167921061,1
1337345419,1
140625489,1
810617967025090561,1
45277959,1
805446616287219714,0
46465954,1
19697314,0
200244664,0
3402987339,0
2450618702,1
2413506002,1
17857052,0
21037329,0
1038414234,1
615923873,1
766675158,1
24791215,0
76061856,1
